key,text,locations,ar,en,fr,ru,tr
"autogen.alpha_3","Alpha 3","waynest-FE\src\pages\user\geo\GeoTables.jsx:33","Alpha 3","Alpha 3","Alpha 3","Альфа 3","Alfa 3"
"autogen.are_you_sure_you_want_to_delete_this_plan_this_action_cannot","Are you sure you want to delete this plan? This action cannot be undone.","waynest-FE\src\pages\shared\TripPlanner.jsx:142","هل أنت متأكد أنك تريد حذف هذه الخطة؟ لا يمكن التراجع عن هذا الإجراء.","Are you sure you want to delete this plan? This action cannot be undone.","Are you sure you want to delete this plan? This action cannot be undone.","Are you sure you want to delete this plan? This action cannot be undone.","Are you sure you want to delete this plan? This action cannot be undone."
"autogen.at_a_glance","At a glance","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:143","At a glance","At a glance","At a glance","At a glance","At a glance"
"autogen.back_to_planner","Back to planner","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:37 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:63","Back to planner","Back to planner","Back to planner","Back to planner","Back to planner"
"autogen.browse_destinations","Browse Destinations →","waynest-FE\src\pages\guest\landing\LandingPage.jsx:153","Browse Destinations →","Browse Destinations →","Browse Destinations →","Browse Destinations →","Browse Destinations →"
"autogen.budget","Budget","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:115 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:152","Budget","Budget","Budget","Budget","Budget"
"autogen.budget_may_be_too_low","Budget may be too low","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:168","Budget may be too low","Budget may be too low","Budget may be too low","Budget may be too low","Budget may be too low"
"autogen.built_for_explorers","Built for explorers.","waynest-FE\src\components\public\footer\GuestFooter.jsx:52","Built for explorers.","Built for explorers.","Built for explorers.","Built for explorers.","Built for explorers."
"autogen.calculating","Calculating...","waynest-FE\src\components\trips\TripSkeleton.jsx:175","Calculating...","Calculating...","Calculating...","Calculating...","Calculating..."
"autogen.capital","Capital","waynest-FE\src\pages\user\geo\GeoTables.jsx:35","Capital","Capital","Capital","Capital","Capital"
"autogen.cities","Cities","waynest-FE\src\pages\user\geo\GeoTables.jsx:63","Cities","Cities","Cities","Cities","Cities"
"autogen.city","City","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:150","City","City","City","City","City"
"autogen.close_mobile_menu","Close mobile menu","waynest-FE\src\components\public\navbar\NavbarPublic.jsx:749","Close mobile menu","Close mobile menu","Close mobile menu","Close mobile menu","Close mobile menu"
"autogen.code","Code","waynest-FE\src\pages\user\geo\GeoTables.jsx:115","Code","Code","Code","Code","Code"
"autogen.code_expired_request_a_new_one","Code expired. Request a new one.","waynest-FE\src\pages\auth\verifyEmail\VerifyEmail.jsx:51","Code expired. Request a new one.","Code expired. Request a new one.","Code expired. Request a new one.","Code expired. Request a new one.","Code expired. Request a new one."
"autogen.copy_link","Copy link","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:107","Copy link","Copy link","Copy link","Copy link","Copy link"
"autogen.countries","Countries","waynest-FE\src\pages\user\geo\GeoTables.jsx:21","Countries","Countries","Countries","Countries","Countries"
"autogen.countries_cities_currencies","Countries, Cities & Currencies","waynest-FE\src\pages\user\geo\GeoTables.jsx:11","Countries, Cities & Currencies","Countries, Cities & Currencies","Countries, Cities & Currencies","Countries, Cities & Currencies","Countries, Cities & Currencies"
"autogen.create_a_new_plan","Create a new plan","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:159","Create a new plan","Create a new plan","Create a new plan","Create a new plan","Create a new plan"
"autogen.create_free_account","Create free account","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:129","Create free account","Create free account","Create free account","Create free account","Create free account"
"autogen.curated_by_locals","curated by locals","waynest-FE\src\pages\guest\landing\LandingPage.jsx:91","curated by locals","curated by locals","curated by locals","curated by locals","curated by locals"
"autogen.currencies","Currencies","waynest-FE\src\pages\user\geo\GeoTables.jsx:105","العملات","Currencies","Devises","Валюты","Dövizler"
"autogen.current_device","Current Device","waynest-FE\src\components\admin\DevicesManager\index.jsx:101","الجهاز الحالي","Current Device","Appareil actuel","Current Device","Current Device"
"autogen.day_1_jerusalem","Day 1 → Jerusalem","waynest-FE\src\pages\guest\landing\LandingPage.jsx:67","Day 1 → Jerusalem","Day 1 → Jerusalem","Day 1 → Jerusalem","Day 1 → Jerusalem","Day 1 → Jerusalem"
"autogen.days","Days","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:148","Days","Days","Days","Days","Days"
"autogen.days_planned","Days planned","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:123","Days planned","Days planned","Days planned","Days planned","Days planned"
"autogen.days_1","Days:","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:69","Days:","Days:","Days:","Days:","Days:"
"autogen.del","del","waynest-FE\src\services\social\social.service.ts:380 | waynest-FE\src\services\social\social.service.ts:397","del","del","del","del","del"
"autogen.delete","Delete","waynest-FE\src\components\social\Stories.jsx:228 | waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:255 | waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:194","Delete","Delete","Delete","Delete","Delete"
"autogen.delete_plan","Delete Plan","waynest-FE\src\pages\shared\TripPlanner.jsx:136","Delete Plan","Delete Plan","Delete Plan","Delete Plan","Delete Plan"
"autogen.device_activated","Device Activated","waynest-FE\src\pages\auth\invite\InvitePage.jsx:22","Device Activated","Device Activated","Device Activated","Device Activated","Device Activated"
"autogen.discovering_hidden_gems_based_on_your_interests","Discovering hidden gems based on your interests","waynest-FE\src\components\trips\TripSkeleton.jsx:157","Discovering hidden gems based on your interests","Discovering hidden gems based on your interests","Discovering hidden gems based on your interests","Discovering hidden gems based on your interests","Discovering hidden gems based on your interests"
"autogen.end","End","waynest-FE\src\pages\guest\eventDetail\EventDetail.jsx:88","End","End","End","End","End"
"autogen.enter_the_6_digit_code_sent_to_your_email","Enter the 6-digit code sent to your email","waynest-FE\src\pages\auth\verifyEmail\VerifyEmail.jsx:25","Enter the 6-digit code sent to your email","Enter the 6-digit code sent to your email","Enter the 6-digit code sent to your email","Enter the 6-digit code sent to your email","Enter the 6-digit code sent to your email"
"autogen.enter_where_you_want_to_go_and_how_many_days_you_have","Enter where you want to go and how many days you have.","waynest-FE\src\pages\guest\landing\LandingPage.jsx:226","Enter where you want to go and how many days you have.","Enter where you want to go and how many days you have.","Enter where you want to go and how many days you have.","Enter where you want to go and how many days you have.","Enter where you want to go and how many days you have."
"autogen.estimated_total","Estimated total","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:119","Estimated total","Estimated total","Estimated total","Estimated total","Estimated total"
"autogen.evening","Evening","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:152 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:180","Evening","Evening","Evening","Evening","Evening"
"autogen.event_not_found","Event not found.","waynest-FE\src\pages\guest\eventDetail\EventDetail.jsx:54","Event not found.","Event not found.","Event not found.","Event not found.","Event not found."
"autogen.everything_you_need_to_travel_smarter","Everything you need to travel smarter","waynest-FE\src\pages\guest\landing\LandingPage.jsx:173","Everything you need to travel smarter","Everything you need to travel smarter","Everything you need to travel smarter","Everything you need to travel smarter","Everything you need to travel smarter"
"autogen.explore","Explore","waynest-FE\src\pages\user\geo\GeoTables.jsx:10","Explore","Explore","Explore","Explore","Explore"
"autogen.explore_destinations","Explore destinations","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:49","Explore destinations","Explore destinations","Explorer des destinations","Explore destinations","Explore destinations"
"autogen.explore_the_world","Explore the World,","waynest-FE\src\pages\guest\landing\LandingPage.jsx:102","Explore the World,","Explore the World,","Explore the World,","Explore the World,","Explore the World,"
"autogen.featured_destinations","Featured Destinations","waynest-FE\src\pages\guest\landing\LandingPage.jsx:193","Featured Destinations","Featured Destinations","Featured Destinations","Featured Destinations","Featured Destinations"
"autogen.fill_out_the_form_to_generate_your_ai_trip_plan","Fill out the form to generate your AI trip plan.","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:165","Fill out the form to generate your AI trip plan.","Fill out the form to generate your AI trip plan.","Fill out the form to generate your AI trip plan.","Fill out the form to generate your AI trip plan.","Fill out the form to generate your AI trip plan."
"autogen.fingerprint","Fingerprint","waynest-FE\src\components\admin\DevicesManager\index.jsx:81","Fingerprint","Fingerprint","Fingerprint","Fingerprint","Fingerprint"
"autogen.fraction_size","Fraction Size","waynest-FE\src\pages\user\geo\GeoTables.jsx:117","Fraction Size","Fraction Size","Fraction Size","Fraction Size","Fraction Size"
"autogen.generate_plan","Generate Plan","waynest-FE\src\pages\guest\landing\LandingPage.jsx:142","Generate Plan","Generate Plan","Generate Plan","Generate Plan","Generate Plan"
"autogen.generating_your_trip","Generating Your Trip","waynest-FE\src\components\trips\TripSkeleton.jsx:124","Generating Your Trip","Generating Your Trip","Generating Your Trip","Generating Your Trip","Generating Your Trip"
"autogen.get","get","waynest-FE\src\services\social\social.service.ts:383 | waynest-FE\src\services\social\social.service.ts:439 | waynest-FE\src\services\social\social.service.ts:455","get","get","get","get","get"
"autogen.get_started_free_1","Get Started Free","waynest-FE\src\pages\guest\landing\LandingPage.jsx:250","Get Started Free","Get Started Free","Get Started Free","Get Started Free","Get Started Free"
"autogen.go_to_home","Go to Home","waynest-FE\src\pages\auth\invite\InvitePage.jsx:35","Go to Home","Go to Home","Go to Home","Go to Home","Go to Home"
"autogen.go_to_login","Go to Login","waynest-FE\src\pages\auth\invite\InvitePage.jsx:24","Go to Login","Go to Login","Go to Login","Go to Login","Go to Login"
"autogen.interests","Interests","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:191","Interests","Interests","Interests","Interests","Interests"
"autogen.join_thousands_of_travelers_already_using_waynest","Join thousands of travelers already using Waynest.","waynest-FE\src\pages\guest\landing\LandingPage.jsx:248","Join thousands of travelers already using Waynest.","Join thousands of travelers already using Waynest.","Join thousands of travelers already using Waynest.","Join thousands of travelers already using Waynest.","Join thousands of travelers already using Waynest."
"autogen.joined_this_week","joined this week","waynest-FE\src\pages\guest\landing\LandingPage.jsx:75","joined this week","joined this week","joined this week","joined this week","joined this week"
"autogen.latitude","Latitude","waynest-FE\src\pages\user\geo\GeoTables.jsx:76","Latitude","Latitude","Latitude","Latitude","Latitude"
"autogen.link_invalid","Link Invalid","waynest-FE\src\pages\auth\invite\InvitePage.jsx:33","Link Invalid","Link Invalid","Link Invalid","Link Invalid","Link Invalid"
"autogen.loading_event_details","Loading event details...","waynest-FE\src\pages\guest\eventDetail\EventDetail.jsx:46","Loading event details...","Loading event details...","Loading event details...","Loading event details...","Loading event details..."
"autogen.loading_saved_plans","Loading saved plans...","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:221 | waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:155","Loading saved plans...","Loading saved plans...","Loading saved plans...","Loading saved plans...","Loading saved plans..."
"autogen.loading","Loading...","waynest-FE\src\components\shared\RouteLoadingState.jsx:4 | waynest-FE\src\pages\user\geo\GeoTables.jsx:24 | waynest-FE\src\pages\user\geo\GeoTables.jsx:66 | waynest-FE\src\pages\user\geo\GeoTables.jsx:108","Loading...","Loading...","Loading...","Loading...","Loading..."
"autogen.local_insights","Local Insights","waynest-FE\src\components\trips\TripSkeleton.jsx:156","Local Insights","Local Insights","Local Insights","Local Insights","Local Insights"
"autogen.log_in","Log in","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:132","Log in","Log in","Log in","Log in","Log in"
"autogen.longitude","Longitude","waynest-FE\src\pages\user\geo\GeoTables.jsx:77","Longitude","Longitude","Longitude","Longitude","Longitude"
"autogen.morning","Morning","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:138 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:178","Morning","Morning","Morning","Morning","Morning"
"autogen.my_saved_plans","My Saved Plans","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:219","My Saved Plans","My Saved Plans","My Saved Plans","My Saved Plans","My Saved Plans"
"autogen.name","Name","waynest-FE\src\pages\user\geo\GeoTables.jsx:31 | waynest-FE\src\pages\user\geo\GeoTables.jsx:73 | waynest-FE\src\pages\user\geo\GeoTables.jsx:116","Name","Name","Name","Name","Name"
"autogen.new","New","waynest-FE\src\pages\social\MessengerHub.jsx:475","New","New","New","New","New"
"autogen.new_plan","New Plan","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:56","New Plan","New Plan","New Plan","New Plan","New Plan"
"autogen.no_cities_available","No cities available.","waynest-FE\src\pages\user\geo\GeoTables.jsx:92","No cities available.","No cities available.","No cities available.","No cities available.","No cities available."
"autogen.no_countries_available","No countries available.","waynest-FE\src\pages\user\geo\GeoTables.jsx:50","No countries available.","No countries available.","No countries available.","No countries available.","No countries available."
"autogen.no_currencies_available","No currencies available.","waynest-FE\src\pages\user\geo\GeoTables.jsx:130","No currencies available.","No currencies available.","No currencies available.","No currencies available.","No currencies available."
"autogen.no_devices_allowed_yet_generate_an_invite_link_to_add_one","No devices allowed yet. Generate an invite link to add one.","waynest-FE\src\components\admin\DevicesManager\index.jsx:89","No devices allowed yet. Generate an invite link to add one.","No devices allowed yet. Generate an invite link to add one.","No devices allowed yet. Generate an invite link to add one.","No devices allowed yet. Generate an invite link to add one.","No devices allowed yet. Generate an invite link to add one."
"autogen.no_saved_plans_found","No saved plans found.","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:158","No saved plans found.","No saved plans found.","No saved plans found.","No saved plans found.","No saved plans found."
"autogen.no_saved_plans_yet","No saved plans yet.","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:223","No saved plans yet.","No saved plans yet.","No saved plans yet.","No saved plans yet.","No saved plans yet."
"autogen.no_sign_up_needed_try_it_free_as_a_guest","No sign-up needed · Try it free as a guest","waynest-FE\src\pages\guest\landing\LandingPage.jsx:146","No sign-up needed · Try it free as a guest","No sign-up needed · Try it free as a guest","No sign-up needed · Try it free as a guest","No sign-up needed · Try it free as a guest","No sign-up needed · Try it free as a guest"
"autogen.no_suitable_place_found","No suitable place found","waynest-FE\src\components\trips\TripSlotCard.jsx:30","No suitable place found","No suitable place found","No suitable place found","No suitable place found","No suitable place found"
"autogen.no_suitable_stop_found","No suitable stop found","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:220","No suitable stop found","No suitable stop found","No suitable stop found","No suitable stop found","No suitable stop found"
"autogen.normalizelist","normalizeList","waynest-FE\src\services\social\social.service.ts:338 | waynest-FE\src\services\social\social.service.ts:400 | waynest-FE\src\services\social\social.service.ts:638","normalizeList","normalizeList","normalizeList","normalizeList","normalizeList"
"autogen.number_of_days","Number of Days","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:140","Number of Days","Number of Days","Number of Days","Number of Days","Number of Days"
"autogen.number_of_persons","Number of Persons","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:175","Number of Persons","Number of Persons","Number of Persons","Number of Persons","Number of Persons"
"autogen.oops_page_not_found","Oops! Page Not Found","waynest-FE\src\pages\system\notfound\NotFound.jsx:11","Oops! Page Not Found","Oops! Page Not Found","Oops! Page Not Found","Oops! Page Not Found","Oops! Page Not Found"
"autogen.open","Open","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:180","Open","Open","Open","Open","Open"
"autogen.our_ai_crafts_a_detailed_day_by_day_plan_tailored_to_you","Our AI crafts a detailed day-by-day plan tailored to you.","waynest-FE\src\pages\guest\landing\LandingPage.jsx:232","Our AI crafts a detailed day-by-day plan tailored to you.","Our AI crafts a detailed day-by-day plan tailored to you.","Our AI crafts a detailed day-by-day plan tailored to you.","Our AI crafts a detailed day-by-day plan tailored to you.","Our AI crafts a detailed day-by-day plan tailored to you."
"autogen.patch","patch","waynest-FE\src\services\social\social.service.ts:433 | waynest-FE\src\services\social\social.service.ts:436 | waynest-FE\src\services\social\social.service.ts:463","patch","patch","patch","patch","patch"
"autogen.place_not_found","Place not found.","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:86","Place not found.","Place not found.","Place not found.","Place not found.","Place not found."
"autogen.plan_a_new_trip","Plan a new trip","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:46","Plan a new trip","Plan a new trip","Plan a new trip","Plan a new trip","Plan a new trip"
"autogen.plan_for_the_day","Plan for the day","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:173","Plan for the day","Plan for the day","Plan for the day","Plan for the day","Plan for the day"
"autogen.plan_your_trip_in_3_simple_steps","Plan your trip in 3 simple steps","waynest-FE\src\pages\guest\landing\LandingPage.jsx:220","Plan your trip in 3 simple steps","Plan your trip in 3 simple steps","Plan your trip in 3 simple steps","Plan your trip in 3 simple steps","Plan your trip in 3 simple steps"
"autogen.population","Population","waynest-FE\src\pages\user\geo\GeoTables.jsx:75","Population","Population","Population","Population","Population"
"autogen.postjson","postJson","waynest-FE\src\services\social\social.service.ts:386 | waynest-FE\src\services\social\social.service.ts:458","postJson","postJson","postJson","postJson","postJson"
"autogen.postnobody","postNoBody","waynest-FE\src\services\social\social.service.ts:392","postNoBody","postNoBody","postNoBody","postNoBody","postNoBody"
"autogen.prev","prev","waynest-FE\src\components\trips\TripSkeleton.jsx:103","prev","prev","prev","prev","prev"
"autogen.preview","preview","waynest-FE\src\pages\social\SocialFeed.jsx:233","preview","preview","preview","preview","preview"
"autogen.promise","Promise","waynest-FE\src\services\catalog\catalog.service.ts:71 | waynest-FE\src\services\providerService.js:79","Promise","Promise","Promise","Promise","Promise"
"autogen.provider_sections","Provider sections","waynest-FE\src\components\provider\ProviderTabs.jsx:82 | waynest-FE\src\components\provider\ProviderTabs.jsx:123","Provider sections","Provider sections","Provider sections","Provider sections","Provider sections"
"autogen.public","Public","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:246","Public","Public","Public","Public","Public"
"autogen.public_itinerary","Public itinerary","waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:67","Public itinerary","Public itinerary","Public itinerary","Public itinerary","Public itinerary"
"autogen.public_link","Public link","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:108","Public link","Public link","Public link","Public link","Public link"
"autogen.public_navigation","Public navigation","waynest-FE\src\components\public\navbar\NavbarPublic.jsx:587","Public navigation","Public navigation","Public navigation","Public navigation","Public navigation"
"autogen.publish","Publish","waynest-FE\src\pages\social\SocialFeed.jsx:245","Publish","Publish","Publish","Publish","Publish"
"autogen.publish_a_public_link_so_friends_can_copy_and_remix_the_trip","Publish a public link so friends can copy and remix the trip.","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:77","Publish a public link so friends can copy and remix the trip.","Publish a public link so friends can copy and remix the trip.","Publish a public link so friends can copy and remix the trip.","Publish a public link so friends can copy and remix the trip.","Publish a public link so friends can copy and remix the trip."
"autogen.published_publicly","published publicly","waynest-FE\src\pages\guest\landing\LandingPage.jsx:83","published publicly","published publicly","published publicly","published publicly","published publicly"
"autogen.rating","Rating","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:154","Rating","Rating","Rating","Rating","Rating"
"autogen.ready_to_plan_your_next_adventure","Ready to plan your next adventure?","waynest-FE\src\pages\guest\landing\LandingPage.jsx:247","Ready to plan your next adventure?","Ready to plan your next adventure?","Ready to plan your next adventure?","Ready to plan your next adventure?","Ready to plan your next adventure?"
"autogen.refresh","Refresh","waynest-FE\src\components\admin\DevicesManager\index.jsx:41","Refresh","Refresh","Refresh","Refresh","Refresh"
"autogen.region","Region","waynest-FE\src\pages\user\geo\GeoTables.jsx:34","Region","Region","Region","Region","Region"
"autogen.remove","Remove","waynest-FE\src\components\admin\DevicesManager\index.jsx:111","Remove","Remove","Remove","Remove","Remove"
"autogen.reply","Reply","waynest-FE\src\components\public\feedback\FeedbackSection.jsx:161","Reply","Reply","Reply","Reply","Reply"
"autogen.reviews","Reviews","waynest-FE\src\pages\guest\placeDetail\PlaceDetail.jsx:161","Reviews","Reviews","Reviews","Reviews","Reviews"
"autogen.save_your_plan_share_it_with_friends_or_publish_it_to_the_co","Save your plan, share it with friends, or publish it to the community.","waynest-FE\src\pages\guest\landing\LandingPage.jsx:238","Save your plan, share it with friends, or publish it to the community.","Save your plan, share it with friends, or publish it to the community.","Save your plan, share it with friends, or publish it to the community.","Save your plan, share it with friends, or publish it to the community.","Save your plan, share it with friends, or publish it to the community."
"autogen.save_share_explore","Save, share & explore","waynest-FE\src\pages\guest\landing\LandingPage.jsx:237","Save, share & explore","Save, share & explore","Save, share & explore","Save, share & explore","Save, share & explore"
"autogen.saved_plans","Saved Plans","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:144","Saved Plans","Saved Plans","Saved Plans","Saved Plans","Saved Plans"
"autogen.search","Search","waynest-FE\src\components\public\navbar\NavbarPublic.jsx:709","Search","Search","Search","Search","Search"
"autogen.search_by_title_city_or_date","Search by title, city, or date...","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:147","Search by title, city, or date...","Search by title, city, or date...","Search by title, city, or date...","Search by title, city, or date...","Search by title, city, or date..."
"autogen.search_results","Search results","waynest-FE\src\components\public\navbar\NavbarPublicSearchDropdown.jsx:474","Search results","Search results","Search results","Search results","Search results"
"autogen.select_city","Select City","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:111","Select City","Select City","Select City","Select City","Select City"
"autogen.select_country","Select Country","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:92","Select Country","Select Country","Select Country","Select Country","Select Country"
"autogen.share_this_itinerary","Share this itinerary","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:76","Share this itinerary","Share this itinerary","Share this itinerary","Share this itinerary","Share this itinerary"
"autogen.share_copy","Share/Copy","waynest-FE\src\pages\user\savedPlans\SavedPlans.jsx:186","Share/Copy","Share/Copy","Share/Copy","Share/Copy","Share/Copy"
"autogen.smart_budgeting","Smart Budgeting","waynest-FE\src\components\trips\TripSkeleton.jsx:147","Smart Budgeting","Smart Budgeting","Smart Budgeting","Smart Budgeting","Smart Budgeting"
"autogen.start","Start","waynest-FE\src\pages\guest\eventDetail\EventDetail.jsx:84","Start","Start","Start","Start","Start"
"autogen.start_with_country_to_filter_available_cities","Start with country to filter available cities.","waynest-FE\src\components\trips\TripPlannerFormPanel.jsx:107","Start with country to filter available cities.","Start with country to filter available cities.","Start with country to filter available cities.","Start with country to filter available cities.","Start with country to filter available cities."
"autogen.state","State","waynest-FE\src\pages\user\geo\GeoTables.jsx:74","State","State","State","State","State"
"autogen.status","Status","waynest-FE\src\components\admin\DevicesManager\index.jsx:82","Status","Status","Status","Status","Status"
"autogen.tell_us_your_destination","Tell us your destination","waynest-FE\src\pages\guest\landing\LandingPage.jsx:225","Tell us your destination","Tell us your destination","Tell us your destination","Tell us your destination","Tell us your destination"
"autogen.the_page_you_are_looking_for_doesn","The page you are looking for doesn","waynest-FE\src\pages\system\notfound\NotFound.jsx:12","The page you are looking for doesn","The page you are looking for doesn","The page you are looking for doesn","The page you are looking for doesn","The page you are looking for doesn"
"autogen.tips","Tips","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:118 | waynest-FE\src\pages\guest\tripShare\PublicTripPage.jsx:189","Tips","Tips","Tips","Tips","Tips"
"autogen.toggle_mobile_menu","Toggle mobile menu","waynest-FE\src\components\public\navbar\NavbarPublic.jsx:721","Toggle mobile menu","Toggle mobile menu","Toggle mobile menu","Toggle mobile menu","Toggle mobile menu"
"autogen.total_estimated_cost","Total Estimated Cost:","waynest-FE\src\components\trips\TripPlannerResultsPanel.jsx:63","Total Estimated Cost:","Total Estimated Cost:","Total Estimated Cost:","Total Estimated Cost:","Total Estimated Cost:"
